,Item Name,Date,Price
230,Other-Dambulla-Wholesale-Coconut ,2015-04-08,47
231,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-08,35
232,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-08,43
233,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-08,30
234,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-08,120
235,Vegetable-Dambulla-Wholesale-Beans ,2015-04-08,40
236,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-08,15
237,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-09,215
238,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-09,85
239,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-09,63
240,Other-Dambulla-Wholesale-Big Onions (local) ,2015-04-09,-
241,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-09,68
242,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-09,13
243,Other-Dambulla-Wholesale-Coconut ,2015-04-09,48
244,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-09,43
245,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-09,48
246,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-09,28
247,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-09,115
248,Vegetable-Dambulla-Wholesale-Beans ,2015-04-09,48
249,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-09,15
250,Other-Dambulla-Wholesale-Coconut ,2015-04-10,49.0
251,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-10,215.0
252,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-10,93.0
253,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-10,59.0
254,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-10,65.0
255,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-10,13.0
256,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-10,18.0
257,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-10,58.0
258,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-10,15.0
259,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-10,110.0
260,Vegetable-Dambulla-Wholesale-Beans ,2015-04-10,88.0
261,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-10,53.0
262,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-21,70.0
263,Other-Dambulla-Wholesale-Coconut ,2015-04-21,48.0
264,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-21,215.0
265,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-21,78.0
266,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-21,60.0
267,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-21,13.0
268,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-21,110.0
269,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-21,15.0
270,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-21,14.0
271,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-21,23.0
272,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-21,13.0
273,Vegetable-Dambulla-Wholesale-Beans ,2015-04-21,38.0
274,Other-Dambulla-Wholesale-Coconut ,2015-04-23,48.0
275,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-23,215.0
276,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-23,68.0
277,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-23,62.0
278,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-23,58.0
279,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-23,14.0
280,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-23,14.0
